AirlineID;ConnectionID;DepartureAirport_AirportID;DestinationAirport_AirportID;DepartureTime;ArrivalTime;Distance;DistanceUnit;FlightRoute;FlightRouteColor
SW;0001;SFO;SIN;01:15:00;11:50:00;13523;KM;"-122.3790;37.6213;0; 103.9894;1.3644;0";#D27700
SW;0002;SIN;SFO;06:30:00;09:15:00;13523;KM;"103.9894;1.3644;0; -122.3790;37.6213;0";#D27700
SW;0011;NRT;SIN;14:55:00;20:50:00;5363;KM;"140.3929;35.7767;0; 103.9894;1.3644;0";#AA0808
SW;0012;SIN;NRT;09:53:00;17:54:00;5363;KM;"103.9894;1.3644;0; 140.3929;35.7767;0";#AA0808
SW;0058;SFO;FRA;13:45:00;09:55:00;9608;KM;"-122.3790;37.6213;0; 8.5706;50.0333;0";#BA066C
SW;0059;FRA;SFO;13:55:00;16:30:00;9608;KM;"8.5706;50.0333;0; -122.3790;37.6213;0";#BA066C
SW;1537;EWR;MIA;21:56:00;12:47:00;1752;KM;"-74.1745;40.6895;0; -80.2906;25.7959;0";#A100C2
GA;0322;MIA;EWR;20:17:00;23:19:00;1752;KM;"-80.2906;25.7959;0; -74.1745;40.6895;0";#A100C2
GA;0017;MIA;HAV;07:19:00;08:03:00;520;KM;"-80.2906;25.7959;0; -82.4091;22.9892;0";#5D36FF
GA;2678;HAV;MIA;06:15:00;10:30:00;520;KM;"-82.4091;22.9892;0; -80.2906;25.7959;0";#5D36FF
GA;0015;JFK;SFO;07:13:00;10:04:00;4156;KM;"-73.7781;40.6413;0; -122.3790;37.6213;0";#0057D2
GA;0018;SFO;JFK;06:40:00;15:06:00;4156;KM;"-122.3790;37.6213;0; -73.7781;40.6413;0";#0057D2
EA;0400;FRA;JFK;10:10:00;11:34:00;6162;KM;"8.5706;50.0333;0; -73.7781;40.6413;0";#046C7A
EA;0401;JFK;FRA;18:30:00;07:45:00;6162;KM;"-73.7781;40.6413;0; 8.5706;50.0333;0";#046C7A
EA;0402;FRA;EWR;13:30:00;15:35:00;6217;KM;"8.5706;50.0333;0; -74.1745;40.6895;0";#256F3A
EA;0403;EWR;FRA;18:09:00;07:30:00;6217;KM;"-74.1745;40.6895;0; 8.5706;50.0333;0";#256F3A
OC;0407;NRT;FRA;13:23:00;15:56:00;9379;KM;"140.3929;35.7767;0; 8.5706;50.0333;0";#6C32A9
OC;0408;FRA;NRT;20:25:00;15:40:00;9379;KM;"8.5706;50.0333;0; 140.3929;35.7767;0";#6C32A9
FA;0788;VCE;NRT;13:25:00;10:13:00;9595;KM;"12.3379;45.5053;0; 140.3929;35.7767;0";#D25F00
FA;0789;NRT;VCE;14:26:00;21:31:00;9595;KM;"140.3929;35.7767;0; 12.3379;45.5053;0";#D25F00
